Date,Value,Classification
2024-01-01,35,Fear
2024-01-02,13,Fear
2024-01-03,31,Fear
2024-01-04,84,Greed
2024-01-05,68,Greed
2024-01-06,84,Greed
2024-01-07,90,Greed
2024-01-08,37,Fear
2024-01-09,35,Fear
2024-01-10,30,Fear
2024-01-11,15,Fear
2024-01-12,36,Fear
2024-01-13,19,Fear
2024-01-14,26,Fear
2024-01-15,17,Fear
2024-01-16,17,Fear
2024-01-17,61,Greed
2024-01-18,93,Greed
2024-01-19,60,Greed
2024-01-20,58,Greed
2024-01-21,92,Greed
2024-01-22,77,Greed
2024-01-23,72,Greed
2024-01-24,84,Greed
2024-01-25,70,Greed
2024-01-26,60,Greed
2024-01-27,34,Fear
2024-01-28,12,Fear
2024-01-29,27,Fear
2024-01-30,42,Fear
2024-01-31,42,Fear
2024-02-01,19,Fear
2024-02-02,36,Fear
2024-02-03,29,Fear
2024-02-04,24,Fear
2024-02-05,60,Greed
2024-02-06,70,Greed
2024-02-07,81,Greed
2024-02-08,94,Greed
2024-02-09,55,Greed
2024-02-10,83,Greed
2024-02-11,88,Greed
2024-02-12,93,Greed
2024-02-13,71,Greed
2024-02-14,59,Greed
2024-02-15,65,Greed
2024-02-16,89,Greed
2024-02-17,90,Greed
2024-02-18,30,Fear
2024-02-19,9,Fear
2024-02-20,59,Greed
2024-02-21,74,Greed
2024-02-22,78,Greed
2024-02-23,56,Greed
2024-02-24,82,Greed
2024-02-25,76,Greed
2024-02-26,55,Greed
2024-02-27,8,Fear
2024-02-28,73,Greed
2024-02-29,83,Greed
2024-03-01,88,Greed
2024-03-02,72,Greed
2024-03-03,66,Greed
2024-03-04,93,Greed
2024-03-05,73,Greed
2024-03-06,67,Greed
2024-03-07,72,Greed
2024-03-08,5,Fear
2024-03-09,17,Fear
2024-03-10,25,Fear
2024-03-11,41,Fear
2024-03-12,34,Fear
2024-03-13,36,Fear
2024-03-14,76,Greed
2024-03-15,59,Greed
2024-03-16,70,Greed
2024-03-17,94,Greed
2024-03-18,56,Greed
2024-03-19,90,Greed
2024-03-20,82,Greed
2024-03-21,66,Greed
2024-03-22,86,Greed
2024-03-23,88,Greed
2024-03-24,6,Fear
2024-03-25,59,Greed
2024-03-26,81,Greed
2024-03-27,94,Greed
2024-03-28,55,Greed
2024-03-29,81,Greed
2024-03-30,60,Greed
2024-03-31,81,Greed
2024-04-01,79,Greed
2024-04-02,58,Greed
2024-04-03,82,Greed
2024-04-04,90,Greed
2024-04-05,89,Greed
2024-04-06,6,Fear
2024-04-07,64,Greed
2024-04-08,64,Greed
2024-04-09,73,Greed
2024-04-10,60,Greed
2024-04-11,89,Greed
2024-04-12,86,Greed
2024-04-13,87,Greed
2024-04-14,62,Greed
2024-04-15,55,Greed
2024-04-16,91,Greed
2024-04-17,16,Fear
2024-04-18,31,Fear
2024-04-19,41,Fear
2024-04-20,6,Fear
2024-04-21,5,Fear
2024-04-22,5,Fear
2024-04-23,11,Fear
2024-04-24,7,Fear
2024-04-25,37,Fear
2024-04-26,29,Fear
2024-04-27,44,Fear
2024-04-28,37,Fear
2024-04-29,43,Fear
2024-04-30,14,Fear
2024-05-01,66,Greed
2024-05-02,88,Greed
2024-05-03,14,Fear
2024-05-04,7,Fear
2024-05-05,31,Fear
2024-05-06,87,Greed
2024-05-07,43,Fear
2024-05-08,42,Fear
2024-05-09,9,Fear
2024-05-10,35,Fear
2024-05-11,38,Fear
2024-05-12,32,Fear
2024-05-13,37,Fear
2024-05-14,88,Greed
2024-05-15,72,Greed
2024-05-16,56,Greed
2024-05-17,73,Greed
2024-05-18,13,Fear
2024-05-19,9,Fear
2024-05-20,9,Fear
2024-05-21,32,Fear
2024-05-22,25,Fear
2024-05-23,26,Fear
2024-05-24,34,Fear
2024-05-25,26,Fear
2024-05-26,30,Fear
2024-05-27,8,Fear
2024-05-28,89,Greed
2024-05-29,72,Greed
2024-05-30,61,Greed
2024-05-31,37,Fear
2024-06-01,34,Fear
2024-06-02,57,Greed
2024-06-03,62,Greed
2024-06-04,55,Greed
2024-06-05,65,Greed
2024-06-06,58,Greed
2024-06-07,83,Greed
2024-06-08,25,Fear
2024-06-09,44,Fear
2024-06-10,34,Fear
2024-06-11,79,Greed
2024-06-12,75,Greed
2024-06-13,57,Greed
2024-06-14,57,Greed
2024-06-15,79,Greed
2024-06-16,55,Greed
2024-06-17,56,Greed
2024-06-18,63,Greed
2024-06-19,90,Greed
2024-06-20,73,Greed
2024-06-21,83,Greed
2024-06-22,71,Greed
2024-06-23,11,Fear
2024-06-24,19,Fear
2024-06-25,8,Fear
2024-06-26,35,Fear
2024-06-27,12,Fear
2024-06-28,20,Fear
2024-06-29,44,Fear
2024-06-30,28,Fear
2024-07-01,23,Fear
2024-07-02,26,Fear
2024-07-03,36,Fear
2024-07-04,15,Fear
2024-07-05,80,Greed
2024-07-06,89,Greed
2024-07-07,77,Greed
2024-07-08,72,Greed
2024-07-09,60,Greed
2024-07-10,14,Fear
2024-07-11,42,Fear
2024-07-12,26,Fear
2024-07-13,17,Fear
2024-07-14,21,Fear
2024-07-15,28,Fear
2024-07-16,26,Fear
2024-07-17,32,Fear
2024-07-18,15,Fear
2024-07-19,30,Fear
2024-07-20,22,Fear
2024-07-21,92,Greed
2024-07-22,11,Fear
2024-07-23,10,Fear
2024-07-24,73,Greed
2024-07-25,75,Greed
2024-07-26,32,Fear
2024-07-27,21,Fear
2024-07-28,41,Fear
2024-07-29,23,Fear
2024-07-30,10,Fear
2024-07-31,9,Fear
2024-08-01,43,Fear
2024-08-02,10,Fear
2024-08-03,92,Greed
2024-08-04,16,Fear
2024-08-05,8,Fear
2024-08-06,17,Fear
2024-08-07,29,Fear
2024-08-08,22,Fear
2024-08-09,36,Fear
2024-08-10,29,Fear
2024-08-11,21,Fear
2024-08-12,30,Fear
2024-08-13,93,Greed
2024-08-14,71,Greed
2024-08-15,61,Greed
2024-08-16,21,Fear
2024-08-17,88,Greed
2024-08-18,63,Greed
2024-08-19,92,Greed
2024-08-20,78,Greed
2024-08-21,79,Greed
2024-08-22,67,Greed
2024-08-23,91,Greed
2024-08-24,56,Greed
2024-08-25,16,Fear
2024-08-26,71,Greed
2024-08-27,74,Greed
2024-08-28,73,Greed
2024-08-29,60,Greed
2024-08-30,64,Greed
2024-08-31,58,Greed
2024-09-01,77,Greed
2024-09-02,69,Greed
2024-09-03,77,Greed
2024-09-04,78,Greed
2024-09-05,83,Greed
2024-09-06,76,Greed
2024-09-07,80,Greed
2024-09-08,78,Greed
2024-09-09,81,Greed
2024-09-10,79,Greed
2024-09-11,67,Greed
2024-09-12,64,Greed
2024-09-13,36,Fear
2024-09-14,68,Greed
2024-09-15,76,Greed
2024-09-16,12,Fear
2024-09-17,22,Fear
2024-09-18,26,Fear
2024-09-19,80,Greed
2024-09-20,76,Greed
2024-09-21,69,Greed
2024-09-22,93,Greed
2024-09-23,75,Greed
2024-09-24,37,Fear
2024-09-25,84,Greed
2024-09-26,27,Fear
2024-09-27,40,Fear
2024-09-28,60,Greed
2024-09-29,91,Greed
2024-09-30,89,Greed
2024-10-01,75,Greed
2024-10-02,84,Greed
2024-10-03,75,Greed
2024-10-04,65,Greed
2024-10-05,86,Greed
2024-10-06,14,Fear
2024-10-07,17,Fear
2024-10-08,25,Fear
2024-10-09,38,Fear
2024-10-10,20,Fear
2024-10-11,24,Fear
2024-10-12,56,Greed
2024-10-13,59,Greed
2024-10-14,57,Greed
2024-10-15,7,Fear
2024-10-16,39,Fear
2024-10-17,88,Greed
2024-10-18,87,Greed
2024-10-19,7,Fear
2024-10-20,8,Fear
2024-10-21,16,Fear
2024-10-22,27,Fear
2024-10-23,18,Fear
2024-10-24,24,Fear
2024-10-25,11,Fear
2024-10-26,34,Fear
2024-10-27,67,Greed
2024-10-28,57,Greed
2024-10-29,84,Greed
2024-10-30,91,Greed
2024-10-31,55,Greed
2024-11-01,72,Greed
2024-11-02,88,Greed
2024-11-03,83,Greed
2024-11-04,39,Fear
2024-11-05,21,Fear
2024-11-06,19,Fear
2024-11-07,33,Fear
2024-11-08,11,Fear
2024-11-09,14,Fear
2024-11-10,29,Fear
2024-11-11,31,Fear
2024-11-12,9,Fear
2024-11-13,25,Fear
2024-11-14,19,Fear
2024-11-15,25,Fear
2024-11-16,43,Fear
2024-11-17,8,Fear
2024-11-18,44,Fear
2024-11-19,22,Fear
2024-11-20,35,Fear
2024-11-21,21,Fear
2024-11-22,17,Fear
2024-11-23,35,Fear
2024-11-24,32,Fear
2024-11-25,10,Fear
2024-11-26,33,Fear
2024-11-27,35,Fear
2024-11-28,20,Fear
2024-11-29,92,Greed
2024-11-30,80,Greed
2024-12-01,18,Fear
2024-12-02,5,Fear
2024-12-03,81,Greed
2024-12-04,63,Greed
2024-12-05,35,Fear
2024-12-06,26,Fear
2024-12-07,23,Fear
2024-12-08,11,Fear
2024-12-09,33,Fear
2024-12-10,11,Fear
2024-12-11,21,Fear
2024-12-12,38,Fear
2024-12-13,41,Fear
2024-12-14,94,Greed
2024-12-15,93,Greed
2024-12-16,77,Greed
2024-12-17,63,Greed
2024-12-18,88,Greed
2024-12-19,87,Greed
2024-12-20,94,Greed
2024-12-21,81,Greed
2024-12-22,60,Greed
2024-12-23,75,Greed
2024-12-24,72,Greed
2024-12-25,88,Greed
2024-12-26,20,Fear
2024-12-27,68,Greed
2024-12-28,8,Fear
2024-12-29,38,Fear
2024-12-30,35,Fear
2024-12-31,6,Fear
